"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","PavedDrive","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"12",12,60,"RL",85,9.38630845479796,"IR1","Inside","NridgHt","Norm","1Fam","2Story",9,5,2005,2006,"Hip","WdShing","Wd Shng","Stone",5.65599181081985,"Ex","TA","PConc","Ex","No","GLQ",6.90575327631146,0,5.17614973257383,7.06902342657826,"Ex","Y","SBrkr",7.07496319796604,7.04053639021596,0,7.7510451179718,1,0,3,0,4,1,"Ex",11,2,"BuiltIn",2005,"Fin",3,6.60123011872888,"Y",0,0,0,0,0,7,2006,"New","Partial",12.7512996960135
"13",13,20,"RL",58.1618529163144,9.47024006341551,"IR2","Inside","Sawyer","Norm","1Fam","1Story",5,6,1962,1962,"Hip","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","No","ALQ",6.60258789218934,0,5.16478597392351,6.81563999007433,"TA","Y","SBrkr",6.81563999007433,0,0,6.81563999007433,1,0,1,0,2,1,"TA",4,0,"Detchd",1962,"Unf",1,5.8636311755981,"Y",0,0,5.17048399503815,0,0,9,2008,"WD","Normal",11.8775685785581
"14",14,20,"RL",91,9.27350294693382,"IR1","Inside","CollgCr","Norm","1Fam","1Story",7,5,2006,2007,"Gable","VinylSd","VinylSd","Stone",5.72358510195238,"Gd","TA","PConc","Gd","Av","Unf",0,0,7.30921236569276,7.30921236569276,"Ex","Y","SBrkr",7.30921236569276,0,0,7.30921236569276,0,0,2,0,3,1,"Gd",7,1,"Attchd",2006,"RFn",3,6.73340189183736,"Y",0,0,0,0,0,8,2007,"New","Partial",12.5407575715773
"15",15,20,"RL",90.4976955348206,9.2983512492989,"IR1","Corner","NAmes","Norm","1Fam","1Story",6,5,1960,1960,"Hip","MetalSd","MetalSd","BrkFace",5.35658627467201,"TA","TA","CBlock","TA","No","BLQ",6.59714570188665,0,6.25382881157547,7.13329595489607,"TA","Y","SBrkr",7.13329595489607,0,0,7.13329595489607,1,0,1,1,2,1,"TA",5,1,"Attchd",1960,"RFn",1,5.8636311755981,"Y",5.17048399503815,0,0,0,0,5,2008,"WD","Normal",11.9640010843304
"16",16,45,"RM",51,8.71931737550637,"Reg","Corner","BrkSide","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","No","Unf",0,0,6.72383244082121,6.72383244082121,"Ex","Y","FuseA",6.74993119378857,0,0,6.74993119378857,0,0,1,0,2,1,"TA",5,0,"Detchd",1991,"Unf",2,6.35610766069589,"Y",0,0,0,0,0,7,2007,"WD","Normal",11.7905572015685
"17",17,20,"RL",93.248032109816,9.3273230874618,"IR1","CulDSac","NAmes","Norm","1Fam","1Story",6,7,1970,1970,"Gable","Wd Sdng","Wd Sdng","BrkFace",5.19295685089021,"TA","TA","CBlock","TA","No","ALQ",6.35957386867238,0,6.05443934626937,6.91174730025167,"Ex","Y","SBrkr",6.91174730025167,0,0,6.91174730025167,1,0,1,0,2,1,"TA",5,1,"Attchd",1970,"Fin",2,6.17378610390194,"Y",0,0,0,0,6.5510803350434,3,2010,"WD","Normal",11.9117015849276
"18",18,90,"RL",72,9.28646773236373,"Reg","Inside","Sawyer","Norm","Duplex","1Story",4,5,1967,1967,"Gable","MetalSd","MetalSd","None",0,"TA","TA","Slab","TA","No","Unf",0,0,0,0,"TA","Y","SBrkr",7.16703787691222,0,0,7.16703787691222,0,0,2,0,2,2,"TA",6,0,"CarPort",1967,"Unf",2,6.24610676548156,"Y",0,0,0,0,6.21460809842219,10,2006,"WD","Normal",11.4075649493124
"19",19,20,"RL",66,9.52478608169718,"Reg","Inside","SawyerW","RRAe","1Fam","1Story",5,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","No","GLQ",6.4707995037826,0,6.14846829591765,7.01571242048723,"Ex","Y","SBrkr",7.01571242048723,0,0,7.01571242048723,1,0,1,1,3,1,"Gd",6,0,"Detchd",2004,"Unf",2,6.35610766069589,"Y",0,0,0,0,0,6,2008,"WD","Normal",11.9766594812024
"20",20,20,"RL",70,8.93062646917358,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1958,1965,"Hip","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","No","LwQ",6.22257626807137,0,6.26339826259162,6.93634273583405,"TA","Y","SBrkr",7.19967834569117,0,0,7.19967834569117,0,0,1,0,3,1,"TA",6,0,"Attchd",1958,"Unf",1,5.68357976733868,"Y",0,0,0,0,0,5,2009,"COD","Abnorml",11.8422292121128
"21",21,60,"RL",101,9.5620530240851,"IR1","Corner","NridgHt","Norm","1Fam","2Story",8,5,2005,2006,"Gable","VinylSd","VinylSd","BrkFace",5.94017125272043,"Gd","TA","PConc","Ex","Av","Unf",0,0,7.05444965813294,7.05444965813294,"Ex","Y","SBrkr",7.05444965813294,7.10496544826984,0,7.77317368048254,0,0,3,1,4,1,"Gd",9,1,"BuiltIn",2005,"RFn",3,6.74875954749168,"Y",0,0,0,0,0,11,2006,"New","Partial",12.6925031124614
"22",22,45,"RM",57,8.91583507417628,"Reg","Inside","IDOTRR","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","No","Unf",0,0,6.45676965557216,6.45676965557216,"Ex","Y","FuseF",7.01031186730723,0,0,7.01031186730723,0,0,1,0,3,1,"Gd",6,1,"Attchd",1930,"Unf",1,5.63478960316925,"N",5.32300997913841,0,0,0,0,6,2007,"WD","Normal",11.8451027773086
"23",23,20,"RL",75,9.18420171436649,"Reg","Inside","CollgCr","Norm","1Fam","1Story",8,5,2002,2002,"Hip","VinylSd","VinylSd","BrkFace",5.63835466933375,"Gd","TA","PConc","Gd","No","Unf",0,0,7.48268182815465,7.48268182815465,"Ex","Y","SBrkr",7.49276030092238,0,0,7.49276030092238,0,0,2,0,3,1,"Gd",7,1,"Attchd",2002,"RFn",2,6.2803958389602,"Y",0,0,0,0,0,9,2008,"WD","Normal",12.3458345879053
"24",24,120,"RM",44,8.3485378253861,"Reg","Inside","MeadowV","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","No","GLQ",6.73340189183736,0,5.29831736654804,6.94697599213542,"TA","Y","SBrkr",6.96602418710611,0,0,6.96602418710611,1,0,1,0,3,1,"TA",6,1,"Attchd",1976,"Unf",2,6.3491389913798,"Y",0,0,0,0,0,6,2007,"WD","Normal",11.7745202026587
"25",25,20,"RL",40.9148750714577,9.01748351326684,"IR1","Inside","Sawyer","Norm","1Fam","1Story",5,8,1968,2001,"Gable","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","Mn","Rec",5.23644196282995,6.50428817353665,5.31811999384422,6.96602418710611,"Ex","Y","SBrkr",6.96602418710611,0,0,6.96602418710611,1,0,1,0,3,1,"Gd",6,1,"Attchd",1968,"Unf",1,5.59842195899838,"Y",0,0,0,0,0,5,2010,"WD","Normal",11.9447078813958
"26",26,20,"RL",110,9.5631076910839,"Reg","Corner","NridgHt","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","Stone",6.46146817635372,"Gd","TA","PConc","Gd","No","Unf",0,0,7.35627987655075,7.35627987655075,"Ex","Y","SBrkr",7.37775890822787,0,0,7.37775890822787,0,0,2,0,3,1,"Gd",7,1,"Attchd",2007,"RFn",3,6.79122146272619,"Y",0,0,0,0,0,7,2009,"WD","Normal",12.4541039123522
"27",27,20,"RL",60,8.88183630500415,"Reg","Corner","NAmes","Norm","1Fam","1Story",5,7,1951,2000,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","Mn","BLQ",5.4553211153577,6.18620862390049,5.19295685089021,6.80239476332431,"TA","Y","SBrkr",6.80239476332431,0,0,6.80239476332431,0,1,1,0,3,1,"Gd",5,0,"Detchd",2005,"Unf",2,6.35610766069589,"Y",0,0,0,0,0,5,2010,"WD","Normal",11.8115474774603
"28",28,20,"RL",98,9.34818743866831,"Reg","Inside","NridgHt","Norm","1Fam","1Story",8,5,2007,2008,"Gable","VinylSd","VinylSd","Stone",5.29831736654804,"Gd","TA","PConc","Ex","No","GLQ",7.10496544826984,0,6.18620862390049,7.44073370738926,"Ex","Y","SBrkr",7.44073370738926,0,0,7.44073370738926,1,0,2,0,3,1,"Gd",7,1,"Attchd",2008,"RFn",3,6.64898455002478,"Y",0,0,0,0,0,5,2010,"WD","Normal",12.6313403809345
"29",29,20,"RL",47,9.7002079011507,"IR1","CulDSac","NAmes","Norm","1Fam","1Story",5,6,1957,1997,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","Gd","BLQ",7.15226885603254,0,5.33271879326537,7.30249642372733,"TA","Y","SBrkr",7.37775890822787,0,0,7.37775890822787,1,0,1,0,2,1,"TA",6,2,"Attchd",1957,"RFn",1,5.76519110278484,"Y",0,0,0,0,0,12,2006,"WD","Normal",12.2428866186529
"30",30,30,"RM",60,8.75210719832936,"IR1","Inside","BrkSide","Feedr","1Fam","1Story",4,6,1927,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","No","Unf",0,0,6.25382881157547,6.25382881157547,"Fa","N","SBrkr",6.25382881157547,0,0,6.25382881157547,0,0,1,0,1,1,"Fa",4,0,"Detchd",1920,"Unf",1,5.48063892334199,"Y",4.46590811865458,0,0,0,0,5,2008,"WD","Normal",11.1345890242503
"32",32,20,"RL",97.3752980628994,9.05298456119998,"IR1","CulDSac","Sawyer","Norm","1Fam","1Story",5,6,1966,2006,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","No","Unf",0,0,7.11314210870709,7.11314210870709,"Gd","Y","SBrkr",7.11314210870709,0,0,7.11314210870709,0,0,1,1,3,1,"Gd",6,0,"Attchd",1966,"Unf",1,5.6021188208797,"Y",0,0,0,0,0,6,2008,"WD","Normal",11.9140478236443
"33",33,20,"RL",85,9.31009520511317,"Reg","Corner","CollgCr","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","Av","Unf",0,0,7.11801620446533,7.11801620446533,"Ex","Y","SBrkr",7.11801620446533,0,0,7.11801620446533,0,0,2,0,3,1,"Gd",7,0,"Attchd",2007,"RFn",2,6.18208490671663,"Y",0,0,0,0,0,1,2008,"WD","Normal",12.1001564199386
"34",34,20,"RL",70,9.26407069439715,"IR1","Inside","NAmes","Norm","1Fam","1Story",5,5,1959,1959,"Hip","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","No","Rec",6.92559519711047,0,5.94017125272043,7.24279792279376,"Gd","Y","SBrkr",7.43838353004431,0,0,7.43838353004431,0,1,1,1,4,1,"Gd",6,1,"Attchd",1959,"RFn",2,6.10255859461357,"Y",0,0,0,0,0,4,2010,"WD","Normal",12.0167264737993
"35",35,120,"RL",60,8.89740886527095,"Reg","Inside","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",5.50533153593236,"Ex","TA","PConc","Ex","No","GLQ",7.05012252026906,0,6.01126717440416,7.35308192051543,"Ex","Y","SBrkr",7.35308192051543,0,0,7.35308192051543,1,0,2,0,2,1,"Ex",6,1,"Attchd",2005,"Fin",2,6.32076829425058,"Y",0,0,0,0,0,8,2007,"WD","Normal",12.5335762121686
"36",36,60,"RL",108,9.50435236812283,"Reg","Inside","NridgHt","Norm","1Fam","2Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",4.88280192258637,"Gd","TA","PConc","Ex","Av","Unf",0,0,7.0184017990692,7.0184017990692,"Ex","Y","SBrkr",7.03174125876313,7.18538701558042,0,7.8046592970561,0,0,3,1,4,1,"Gd",9,1,"BuiltIn",2004,"Fin",3,6.53813982376767,"Y",0,0,0,0,0,9,2006,"WD","Normal",12.6410965558799
"37",37,20,"RL",112,9.2927495082169,"Reg","Corner","CollgCr","Norm","1Fam","1Story",5,5,1994,1995,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","No","Unf",0,0,7.00033446027523,7.00033446027523,"Ex","Y","SBrkr",7.00033446027523,0,0,7.00033446027523,0,0,1,1,3,1,"TA",6,0,"Attchd",1995,"Unf",2,6.51025834052315,"Y",0,0,0,0,0,6,2009,"WD","Normal",11.8844890214027
"38",38,20,"RL",74,9.05157907959124,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1954,1990,"Hip","Wd Sdng","Wd Sdng","BrkFace",6.47697236288968,"TA","TA","CBlock","TA","No","Rec",7.10085190894405,0,4.43081679884331,7.16780918431644,"Gd","Y","SBrkr",7.16780918431644,0,0,7.16780918431644,0,1,1,0,3,1,"TA",5,1,"Attchd",1954,"Fin",2,6.21060007702465,"Y",0,0,0,0,0,10,2009,"WD","Normal",11.9381932003746
"39",39,20,"RL",68,8.97739897818186,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,7,1953,2007,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","No","GLQ",6.59441345974978,0,5.78689738136671,6.96318998587024,"TA","Y","SBrkr",6.96318998587024,0,0,6.96318998587024,1,0,1,0,3,1,"Gd",5,0,"Detchd",1953,"Unf",1,5.50533153593236,"Y",0,0,0,0,0,1,2010,"WD","Abnorml",11.5991031612113
"40",40,90,"RL",65,8.70615929092886,"Reg","Inside","Edwards","Norm","Duplex","1Story",4,5,1955,1955,"Gable","AsbShng","Plywood","None",0,"TA","TA","PConc","TA","No","LwQ",0,0,0,0,"TA","N","FuseP",7.04925484125584,0,0,7.04925484125584,0,0,2,0,2,2,"Fa",6,0,"2Types",1795.86549836545,"Fin",0,0,"N",0,0,0,0,0,6,2008,"WD","AdjLand",11.3144745262464
"41",41,20,"RL",84,9.06623902800193,"Reg","Inside","NAmes","Norm","1Fam","1Story",6,5,1965,1965,"Gable","Wd Sdng","Wd Sdng","BrkFace",4.61512051684126,"TA","TA","CBlock","TA","No","Rec",6.46614472423762,0,6.09807428216624,6.99209642741589,"Ex","Y","SBrkr",7.18841273649695,0,0,7.18841273649695,0,0,2,0,3,1,"TA",6,1,"Attchd",1965,"RFn",2,6.08677472691231,"Y",0,0,0,0,0,12,2006,"WD","Abnorml",11.982929094216
"42",42,20,"RL",115,9.73536471514199,"Reg","Inside","Timber","Norm","1Fam","1Story",5,6,1959,1959,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","Gd","BLQ",6.87419849545329,0,5.94803498918065,7.20785987143248,"Gd","Y","SBrkr",7.19142933003638,0,0,7.19142933003638,0,1,1,1,2,1,"TA",5,2,"Attchd",1959,"RFn",1,5.73009978297357,"P",0,0,0,0,0,7,2007,"WD","Normal",12.0435537160324
"43",43,85,"RL",61.5535949204955,9.12478248361454,"IR1","CulDSac","SawyerW","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","Av","ALQ",6.61606518513282,4.53259949315326,0,6.73340189183736,"Gd","Y","SBrkr",6.78445706263764,0,0,6.78445706263764,1,0,1,0,2,1,"Gd",5,0,"Attchd",1983,"RFn",2,6.22257626807137,"Y",0,0,0,0,0,12,2007,"WD","Normal",11.8775685785581
"44",44,20,"RL",66.5293369472378,9.12695876303713,"IR1","CulDSac","CollgCr","Norm","1Fam","1Story",5,6,1975,1980,"Hip","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","Av","LwQ",5.63478960316925,6.19644412779452,5.11799381241676,6.84374994900622,"TA","Y","SBrkr",6.84374994900622,0,0,6.84374994900622,1,0,1,0,3,1,"TA",5,0,"Detchd",1977,"Unf",1,5.73009978297357,"Y",0,0,0,0,0,7,2008,"WD","Normal",11.7772109596156
"45",45,20,"RL",70,8.98029807897082,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1959,1959,"Gable","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","No","ALQ",5.18738580584075,6.22653666928747,6.14203740558736,7.0475172213573,"Ex","Y","FuseA",7.0475172213573,0,0,7.0475172213573,1,0,1,0,3,1,"TA",6,0,"Attchd",1959,"RFn",1,5.7037824746562,"Y",0,0,0,0,0,5,2006,"WD","Normal",11.8565151693603
"46",46,120,"RL",61,8.94350613203724,"Reg","Inside","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",6.02102334934953,"Ex","TA","PConc","Ex","No","GLQ",6.12249280951439,0,7.16703787691222,7.46851327149634,"Ex","Y","SBrkr",7.46851327149634,0,0,7.46851327149634,1,0,2,0,2,1,"Ex",6,1,"Attchd",2005,"RFn",2,6.35610766069589,"Y",0,0,0,0,0,2,2010,"WD","Normal",12.6757637259376
"47",47,50,"RL",48,9.4589177245472,"IR1","CulDSac","Mitchel","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","No","GLQ",7.2086003379602,0,4.4188406077966,7.26822302115957,"Ex","Y","SBrkr",7.32514895795557,6.44730586254121,0,7.67275789664251,1,0,1,1,1,1,"Gd",6,1,"Attchd",2003,"RFn",2,6.50727771238501,"Y",0,0,5.28826703069454,0,0,8,2009,"WD","Abnorml",12.3870850123755
"48",48,20,"FV",84,9.31433996199467,"Reg","Inside","Somerst","Norm","1Fam","1Story",8,5,2006,2006,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","Av","GLQ",3.17805383034795,0,7.39756153552405,7.4121603349452,"Ex","Y","SBrkr",7.4121603349452,0,0,7.4121603349452,0,0,2,0,3,1,"Gd",7,0,"Attchd",2006,"RFn",3,6.71659477352098,"Y",0,0,0,0,0,7,2007,"WD","Normal",12.4280154762679
"49",49,190,"RM",33,8.40200678160712,"Reg","Inside","OldTown","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","No","Unf",0,0,6.60123011872888,6.60123011872888,"Gd","Y","SBrkr",6.60123011872888,6.57368016696065,0,7.28069719538474,0,0,2,0,2,3,"TA",8,0,"2Types",1817.68142374268,"Unf",0,0,"N",4.62497281328427,0,0,0,0,6,2009,"New","Partial",11.6351430976945
"50",50,20,"RL",66,8.95441533113759,"Reg","Inside","Sawyer","Norm","1Fam","1Story",5,7,1966,1966,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","No","BLQ",6.63725803128446,0,5.25749537202778,6.86171134048073,"Ex","Y","SBrkr",6.86171134048073,0,0,6.86171134048073,1,0,1,0,3,1,"TA",6,0,"Attchd",1966,"Unf",1,5.95583736946483,"Y",0,0,0,0,0,1,2007,"WD","Normal",11.7519423654407
"51",51,60,"RL",67.0508391224399,9.53741141265633,"IR2","Corner","Gilbert","Norm","1Fam","2Story",6,6,1997,1997,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","Av","GLQ",5.2040066870768,0,6.41673228251233,6.67708346124714,"Gd","Y","SBrkr",6.67708346124714,6.51619307604296,0,7.29301767977278,0,1,2,0,3,1,"TA",6,0,"Attchd",1997,"Fin",2,5.96100533962327,"Y",0,0,0,0,0,7,2007,"WD","Normal",12.083905011556
"52",52,50,"RM",52,8.73873546136347,"Reg","Inside","BrkSide","Norm","1Fam","1.5Fin",6,6,1934,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","No","Unf",0,0,6.70441435496411,6.70441435496411,"TA","Y","SBrkr",6.70441435496411,0,5.88610403145016,7.06987412845857,0,0,1,0,3,1,"TA",6,1,"Detchd",1985,"Unf",2,6.26909628370626,"Y",0,0,0,0,5.99146454710798,9,2006,"WD","Normal",11.6483301019764
"53",53,90,"RM",110,9.04452188728124,"IR2","Corner","IDOTRR","RRNn","Duplex","1Story",5,5,1963,1963,"Gable","Wd Sdng","Wd Sdng","None",0,"Fa","TA","CBlock","Gd","Gd","LwQ",4.64439089914137,6.56807791141198,0,6.70441435496411,"TA","N","SBrkr",6.70441435496411,0,0,6.70441435496411,1,0,1,0,2,1,"TA",5,0,"CarPort",1963,"Unf",2,6.24610676548156,"Y",0,0,0,0,0,5,2010,"WD","Normal",11.6082356447746
