"","Id","MSSubClass","MSZoning","LotArea","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"19",19,20,"RL",9.52478608169718,"Reg","Lvl","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",6.4707995037826,"Unf",0,6.14846829591765,7.01571242048723,"GasA","Ex","Y","SBrkr",7.01571242048723,0,0,7.01571242048723,1,0,1,1,3,1,"Gd",6,"Typ",0,"Detchd",2004,"Unf",2,6.35610766069589,"TA","TA","Y",0,4.62497281328427,0,0,0,0,0,6,2008,"WD","Normal",11.9766594812024
"20",20,20,"RL",8.93062646917358,"Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",6.22257626807137,"Unf",0,6.26339826259162,6.93634273583405,"GasA","TA","Y","SBrkr",7.19967834569117,0,0,7.19967834569117,0,0,1,0,3,1,"TA",6,"Min1",0,"Attchd",1958,"Unf",1,5.68357976733868,"TA","TA","Y",0,0,0,0,0,0,0,5,2009,"COD","Abnorml",11.8422292121128
"21",21,60,"RL",9.5620530240851,"IR1","Lvl","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",5.94017125272043,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,7.05444965813294,7.05444965813294,"GasA","Ex","Y","SBrkr",7.05444965813294,7.10496544826984,0,7.77317368048254,0,0,3,1,4,1,"Gd",9,"Typ",1,"BuiltIn",2005,"RFn",3,6.74875954749168,"TA","TA","Y",5.48063892334199,5.03695260241363,0,0,0,0,0,11,2006,"New","Partial",12.6925031124614
"22",22,45,"RM",8.91583507417628,"Reg","Bnk","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,6.45676965557216,6.45676965557216,"GasA","Ex","Y","FuseF",7.01031186730723,0,0,7.01031186730723,0,0,1,0,3,1,"Gd",6,"Typ",1,"Attchd",1930,"Unf",1,5.63478960316925,"TA","TA","N",0,0,5.32300997913841,0,0,0,0,6,2007,"WD","Normal",11.8451027773086
"23",23,20,"RL",9.18420171436649,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",5.63835466933375,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,7.48268182815465,7.48268182815465,"GasA","Ex","Y","SBrkr",7.49276030092238,0,0,7.49276030092238,0,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",2002,"RFn",2,6.2803958389602,"TA","TA","Y",5.14166355650266,5.06890420222023,0,0,0,0,0,9,2008,"WD","Normal",12.3458345879053
"24",24,120,"RM",8.3485378253861,"Reg","Lvl","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",6.73340189183736,"Unf",0,5.29831736654804,6.94697599213542,"GasA","TA","Y","SBrkr",6.96602418710611,0,0,6.96602418710611,1,0,1,0,3,1,"TA",6,"Typ",1,"Attchd",1976,"Unf",2,6.3491389913798,"TA","TA","Y",4.60517018598809,4.70048036579242,0,0,0,0,0,6,2007,"WD","Normal",11.7745202026587
"25",25,20,"RL",9.01748351326684,"IR1","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,8,1968,2001,"Gable","CompShg","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","Rec",5.23644196282995,"ALQ",6.50428817353665,5.31811999384422,6.96602418710611,"GasA","Ex","Y","SBrkr",6.96602418710611,0,0,6.96602418710611,1,0,1,0,3,1,"Gd",6,"Typ",1,"Attchd",1968,"Unf",1,5.59842195899838,"TA","TA","Y",6.00635315960173,4.49980967033027,0,0,0,0,0,5,2010,"WD","Normal",11.9447078813958
"26",26,20,"RL",9.5631076910839,"Reg","Lvl","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",6.46146817635372,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,7.35627987655075,7.35627987655075,"GasA","Ex","Y","SBrkr",7.37775890822787,0,0,7.37775890822787,0,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",2007,"RFn",3,6.79122146272619,"TA","TA","Y",0,4.02535169073515,0,0,0,0,0,7,2009,"WD","Normal",12.4541039123522
"27",27,20,"RL",8.88183630500415,"Reg","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1951,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",5.4553211153577,"Rec",6.18620862390049,5.19295685089021,6.80239476332431,"GasA","TA","Y","SBrkr",6.80239476332431,0,0,6.80239476332431,0,1,1,0,3,1,"Gd",5,"Typ",0,"Detchd",2005,"Unf",2,6.35610766069589,"TA","TA","Y",5.40267738187228,3.46573590279973,0,0,0,0,0,5,2010,"WD","Normal",11.8115474774603
"28",28,20,"RL",9.34818743866831,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",5.29831736654804,"Gd","TA","PConc","Ex","TA","No","GLQ",7.10496544826984,"Unf",0,6.18620862390049,7.44073370738926,"GasA","Ex","Y","SBrkr",7.44073370738926,0,0,7.44073370738926,1,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",2008,"RFn",3,6.64898455002478,"TA","TA","Y",0,3.91202300542815,0,0,0,0,0,5,2010,"WD","Normal",12.6313403809345
"29",29,20,"RL",9.7002079011507,"IR1","Lvl","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1957,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ",7.15226885603254,"Unf",0,5.33271879326537,7.30249642372733,"GasA","TA","Y","SBrkr",7.37775890822787,0,0,7.37775890822787,1,0,1,0,2,1,"TA",6,"Typ",2,"Attchd",1957,"RFn",1,5.76519110278484,"TA","TA","Y",5.66296048013595,5.55295958492162,0,0,0,0,0,12,2006,"WD","Normal",12.2428866186529
"30",30,30,"RM",8.75210719832936,"IR1","Lvl","Inside","Gtl","BrkSide","Feedr","RRNn","1Fam","1Story",4,6,1927,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,6.25382881157547,6.25382881157547,"GasA","Fa","N","SBrkr",6.25382881157547,0,0,6.25382881157547,0,0,1,0,1,1,"Fa",4,"Typ",0,"Detchd",1920,"Unf",1,5.48063892334199,"Fa","TA","Y",3.89182029811063,0,4.46590811865458,0,0,0,0,5,2008,"WD","Normal",11.1345890242503
"31",31,70,"C (all)",9.04782144247841,"Reg","Lvl","Inside","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story",4,4,1920,1950,"Gambrel","CompShg","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",0,6.47543271670409,6.47543271670409,"GasA","TA","N","SBrkr",6.47543271670409,6.50428817353665,0,7.18311170174328,0,0,1,0,3,1,"TA",6,"Typ",0,"Detchd",1920,"Unf",1,5.52146091786225,"TA","Fa","N",0,3.98898404656427,5.14749447681345,0,0,0,0,7,2008,"WD","Normal",10.5966347330961
"32",32,20,"RL",9.05298456119998,"IR1","Lvl","CulDSac","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1966,2006,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,7.11314210870709,7.11314210870709,"GasA","Gd","Y","SBrkr",7.11314210870709,0,0,7.11314210870709,0,0,1,1,3,1,"Gd",6,"Typ",0,"Attchd",1966,"Unf",1,5.6021188208797,"TA","TA","Y",0,4.17438726989564,0,0,0,0,0,6,2008,"WD","Normal",11.9140478236443
"33",33,20,"RL",9.31009520511317,"Reg","Lvl","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,7.11801620446533,7.11801620446533,"GasA","Ex","Y","SBrkr",7.11801620446533,0,0,7.11801620446533,0,0,2,0,3,1,"Gd",7,"Typ",0,"Attchd",2007,"RFn",2,6.18208490671663,"TA","TA","Y",0,3.40119738166216,0,0,0,0,0,1,2008,"WD","Normal",12.1001564199386
"34",34,20,"RL",9.26407069439715,"IR1","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec",6.92559519711047,"Unf",0,5.94017125272043,7.24279792279376,"GasA","Gd","Y","SBrkr",7.43838353004431,0,0,7.43838353004431,0,1,1,1,4,1,"Gd",6,"Typ",1,"Attchd",1959,"RFn",2,6.10255859461357,"TA","TA","Y",0,3.63758615972639,0,0,0,0,0,4,2010,"WD","Normal",12.0167264737993
"35",35,120,"RL",8.89740886527095,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",5.50533153593236,"Ex","TA","PConc","Ex","TA","No","GLQ",7.05012252026906,"Unf",0,6.01126717440416,7.35308192051543,"GasA","Ex","Y","SBrkr",7.35308192051543,0,0,7.35308192051543,1,0,2,0,2,1,"Ex",6,"Typ",1,"Attchd",2005,"Fin",2,6.32076829425058,"TA","TA","Y",5.31320597904179,3.85014760171006,0,0,0,0,0,8,2007,"WD","Normal",12.5335762121686
"36",36,60,"RL",9.50435236812283,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",4.88280192258637,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,7.0184017990692,7.0184017990692,"GasA","Ex","Y","SBrkr",7.03174125876313,7.18538701558042,0,7.8046592970561,0,0,3,1,4,1,"Gd",9,"Typ",1,"BuiltIn",2004,"Fin",3,6.53813982376767,"TA","TA","Y",4.72738781871234,3.46573590279973,0,0,0,0,0,9,2006,"WD","Normal",12.6410965558799
"37",37,20,"RL",9.2927495082169,"Reg","Lvl","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,7.00033446027523,7.00033446027523,"GasA","Ex","Y","SBrkr",7.00033446027523,0,0,7.00033446027523,0,0,1,1,3,1,"TA",6,"Typ",0,"Attchd",1995,"Unf",2,6.51025834052315,"TA","TA","Y",5.97126183979046,4.15888308335967,0,0,0,0,0,6,2009,"WD","Normal",11.8844890214027
"38",38,20,"RL",9.05157907959124,"Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1990,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",6.47697236288968,"TA","TA","CBlock","TA","TA","No","Rec",7.10085190894405,"Unf",0,4.43081679884331,7.16780918431644,"GasA","Gd","Y","SBrkr",7.16780918431644,0,0,7.16780918431644,0,1,1,0,3,1,"TA",5,"Typ",1,"Attchd",1954,"Fin",2,6.21060007702465,"TA","TA","Y",0,0,0,0,0,0,0,10,2009,"WD","Normal",11.9381932003746
"39",39,20,"RL",8.97739897818186,"Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1953,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","GLQ",6.59441345974978,"Unf",0,5.78689738136671,6.96318998587024,"GasA","TA","Y","SBrkr",6.96318998587024,0,0,6.96318998587024,1,0,1,0,3,1,"Gd",5,"Typ",0,"Detchd",1953,"Unf",1,5.50533153593236,"TA","TA","Y",0,3.95124371858143,0,0,0,0,0,1,2010,"WD","Abnorml",11.5991031612113
"40",40,90,"RL",8.70615929092886,"Reg","Lvl","Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story",4,5,1955,1955,"Gable","CompShg","AsbShng","Plywood","None",0,"TA","TA","PConc","TA","TA","No","Rec",0,"Unf",0,0,0,"GasA","TA","N","FuseP",7.04925484125584,0,0,7.04925484125584,0,0,2,0,2,2,"Fa",6,"Typ",0,"2Types",1779.73108990095,"RFn",0,0,"Po","Po","N",0,0,0,0,0,0,0,6,2008,"WD","AdjLand",11.3144745262464
"41",41,20,"RL",9.06623902800193,"Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1965,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",4.61512051684126,"TA","TA","CBlock","TA","TA","No","Rec",6.46614472423762,"Unf",0,6.09807428216624,6.99209642741589,"GasA","Ex","Y","SBrkr",7.18841273649695,0,0,7.18841273649695,0,0,2,0,3,1,"TA",6,"Typ",1,"Attchd",1965,"RFn",2,6.08677472691231,"TA","TA","Y",0,4.92725368515721,0,0,0,0,0,12,2006,"WD","Abnorml",11.982929094216
"42",42,20,"RL",9.73536471514199,"Reg","Lvl","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","Gd","BLQ",6.87419849545329,"Unf",0,5.94803498918065,7.20785987143248,"GasA","Gd","Y","SBrkr",7.19142933003638,0,0,7.19142933003638,0,1,1,1,2,1,"TA",5,"Typ",2,"Attchd",1959,"RFn",1,5.73009978297357,"TA","TA","P",0,4.64439089914137,0,0,0,0,0,7,2007,"WD","Normal",12.0435537160324
"43",43,85,"RL",9.12478248361454,"IR1","Lvl","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ",6.61606518513282,"LwQ",4.53259949315326,0,6.73340189183736,"GasA","Gd","Y","SBrkr",6.78445706263764,0,0,6.78445706263764,1,0,1,0,2,1,"Gd",5,"Typ",0,"Attchd",1983,"RFn",2,6.22257626807137,"TA","Gd","Y",5.48063892334199,0,0,0,0,0,0,12,2007,"WD","Normal",11.8775685785581
